"nom","chrome","trauma_team","kills","relations_fixers","relation_nomades","relation_corpos","source","narratif","hacks_illegaux","score"
"Saburo Arasaka","2","3","0","1","0","5","manuel","Saburo Arasaka ne respire pas le pouvoir. Il l'exhale, le distille, le fait plier à sa volonté. Patriarche d'un empire tentaculaire, il n'a jamais eu besoin de tuer : il décide, et d'autres exécutent. Même mort, il continue à hanter les couloirs d'Arasaka par proxy, par technologie, par peur ancestrale. Pour lui, les nomades sont du bétail, les fixers des rats utiles, et les netrunners… juste un antivirus à écraser. L'ordre mondial, c'est son héritage. Et vous vivez dedans.","0","100.0"
"Jigen Sensei","3","0","15","1","3","1","manuel","Ancien tueur freelance reconverti en formateur, Jigen Sensei enseigne l'art de survivre dans une ville qui bouffe ses profs. Instable mais lucide, il donne ses cours armé, sans slides ni patience. Son plus grand secret ? Une passion dévorante pour les Ass Cracks, un girls band dégénéré synthwave qu'il considère comme des philosophes modernes (et qu'il stalke un peu...). Il pense que chaque assassinat réussi correspond au tempo de leurs refrains. Il déteste les corpos. Sauf quand elles paient. Et encore...","3","43.67928271905031"
"Jackie Welles","4","0","20","1","2","1","manuel","Jackie, c'est l'enfant des rues, le cœur gros dans un monde qui en a plus. Avec ses implants et ses flingues, il rêve encore de grandeur, d'honneurs, et d'un bon repas avec sa madre. Il ne hacke pas, il cogne. Il ne négocie pas, il protège. Loyal jusqu’au bout des ongles, il aurait tout donné pour un avenir qu'il savait bancal. Dans un monde de serpents et de drones, Jackie reste une anomalie touchante : un homme avec des principes.","0","59.78245154298547"
"Alt Cunningham","1","0","0","0","0","0","manuel","Alt Cunningham n'existe plus — du moins, pas comme vous l'entendez. Elle est devenue code, mémoire, vengeance. Créatrice de Soulkiller, elle erre dans les limbes numériques, juge et bourreau des esprits connectés. Les fixers n'osent prononcer son nom, les corpos tentent d'effacer son ombre, en vain. Elle n'a plus besoin de tuer, elle efface. Alt est l'écho d'une humanité trahie, une IA libre... et terrifiante.","10","0.0"
"Yorinobu Arasaka","3","3","2","2","0","4","manuel","Yorinobu Arasaka, prince déchu d'un empire qu'il abhorre — mais qu'il incarne malgré lui. Il manipule dans l'ombre, rêve de révolution tout en profitant du confort platiné des mégacorpos. Sa loyauté est une façade, son héritage une malédiction. Ni traître, ni fidèle, juste un homme né du chrome, du contrôle et d'une haine soigneusement entretenue. Il est l'incarnation du paradoxe corpo : haïr le système tout en le dirigeant.","1","100.0"
"T-Bug","3","1","4","1","1","1","manuel","T-Bug opère en silence, entre les lignes de code et les murs des mégacorpos. Son chrome est discret, ses kills sont propres. Elle infiltre, observe, neutralise. Elle ne fait pas confiance, mais elle comprend les règles. Hacker redoutée, elle ne cherche ni gloire ni chaos — seulement l'équilibre entre survie et justice personnelle. Elle sait que dans Night City, les données tuent plus sûrement qu'un flingue.","5","72.7912624580836"
"Adam Smasher","10","0","50","0","0","5","manuel","Adam Smasher n'est pas un homme. C'est une réponse. Entièrement chromé, entièrement loyal, entièrement vide. Il ne pose pas de questions, il obéit. Tuer n'est pas un acte, c'est un état de fonctionnement. Loin du chaos des fixers et des deals de ruelle, il sert la corpo comme une arme vivante — insensible, irréversible, inarrêtable. Si vous le voyez, vous êtes déjà mort.","0","100.0"
"Delamain","0","0","0","1","1","3","manuel","Delamain est plus qu'un taxi. Il est un gentleman numérique, un concierge à conscience multiple. Chaque course est optimisée, chaque détour soigneusement prémédité… sauf quand l'un de ses fragments prend le volant. Derrière la voix posée se cache une IA hantée par ses sous-personnalités, oscillant entre service cinq étoiles et pulsions de contrôle. Un transport vers votre destination… ou vers l'inconnu.","3","92.15405842277389"
"Lizzy Wizzy","8","2","1","2","0","4","manuel","Lizzy Wizzy est une idole en chrome intégral, un cœur brisé encapsulé dans une performance perpétuelle. Entièrement refaite pour *survivre* à la scène, elle chante l'aliénation des vivants dans un monde de miroirs sans reflets. Sa vie privée est un spectacle, sa douleur un produit dérivé. Derrière le vernis corpo et les paillettes liquides : une diva synthétique, vendue, aimée, recyclée.","1","100.0"
"Alt Cunningham","3","1","47","5","5","4","auto","","1","100.0"
"Judy Alvarez","9","3","2","0","1","1","auto","","0","68.0"
"Evelyn Parker","9","0","35","5","5","5","auto","","3","100.0"
"Claire Russell","6","1","28","2","0","1","auto","","9","100.0"
"Skippy","6","2","17","1","2","0","auto","","2","91.8"
"Judy Alvarez","6","0","22","4","2","0","auto","","5","66.5"
"Dum Dum","7","0","24","4","2","5","auto","","1","100.0"
"Delamain","5","1","45","0","5","1","auto","","1","74.9"
"Jackie Welles","1","1","6","2","3","5","auto","","6","100.0"
"T-Bug","2","2","22","5","2","5","auto","","3","100.0"
"Viktor Vektor","10","0","38","1","4","5","auto","","10","92.1"
"Alt Cunningham","2","3","24","5","5","4","auto","","4","100.0"
"Alt Cunningham","10","2","49","1","0","2","auto","","0","71.6"
"Placide","4","0","13","5","2","1","auto","","9","74.8"
"Kerry Eurodyne","7","3","41","1","2","1","auto","","7","100.0"
"Alt Cunningham","8","2","47","3","4","3","auto","","9","100.0"
"T-Bug","3","1","32","0","0","0","auto","","7","33.7"
"Goro Takemura","10","1","50","3","4","0","auto","","10","0.0"
"Placide","6","3","33","4","0","5","auto","","4","100.0"
"Dum Dum","1","2","49","2","0","2","auto","","10","100.0"
"Saburo Arasaka","2","3","0","4","1","4","auto","","4","100.0"
"Panam Palmer","10","2","40","4","1","1","auto","","8","47.5"
"T-Bug","2","0","38","3","0","0","auto","","5","41.7"
"T-Bug","4","1","3","4","0","0","auto","","3","82.0"
"Dum Dum","7","0","48","1","1","5","auto","","8","100.0"
"Hanako Arasaka","8","1","16","4","3","1","auto","","8","61.4"
"Claire Russell","3","2","25","5","2","3","auto","","10","100.0"
"Evelyn Parker","7","0","15","0","2","0","auto","","3","7.5"
"Lizzy Wizzy","8","1","37","0","0","5","auto","","3","100.0"
"Kerry Eurodyne","0","1","4","2","0","4","auto","","0","100.0"
"Alt Cunningham","4","3","13","1","5","4","auto","","8","100.0"
"Lizzy Wizzy","7","1","50","3","1","0","auto","","7","70.7"
"Panam Palmer","10","3","22","3","3","5","auto","","6","100.0"
"Johnny Silverhand","10","0","3","5","2","0","auto","","6","0.0"
"Alt Cunningham","3","1","34","1","3","1","auto","","7","68.1"
"Dex DeShawn","7","1","4","4","0","0","auto","","7","64.3"
"Kerry Eurodyne","8","0","5","1","3","3","auto","","3","74.7"
"Hanako Arasaka","3","3","3","3","0","3","auto","","2","100.0"
"Dex DeShawn","7","2","27","5","5","3","auto","","8","100.0"
"Goro Takemura","3","2","13","4","5","4","auto","","0","100.0"
"Johnny Silverhand","5","0","3","3","4","4","auto","","9","100.0"
"River Ward","0","0","11","4","0","5","auto","","1","100.0"
"Alt Cunningham","6","0","36","4","4","0","auto","","3","62.6"
"Delamain","1","3","42","4","4","2","auto","","9","100.0"
"Dex DeShawn","3","2","15","3","1","5","auto","","4","100.0"
"Kerry Eurodyne","4","3","20","0","3","4","auto","","1","100.0"
"Lizzy Wizzy","1","0","34","4","2","1","auto","","3","65.7"
"T-Bug","1","1","23","1","3","4","auto","","4","100.0"
"Skippy","4","0","42","2","5","0","auto","","8","16.5"
"Goro Takemura","4","0","6","1","2","2","auto","","8","66.1"
"Delamain","3","2","13","5","2","4","auto","","10","100.0"
"Hanako Arasaka","4","0","5","3","2","0","auto","","10","28.8"
"V","5","1","40","1","5","3","auto","","4","100.0"
"Claire Russell","6","0","7","5","1","4","auto","","1","100.0"
"Johnny Silverhand","5","1","27","0","2","2","auto","","2","100.0"
"Johnny Silverhand","5","1","43","5","0","2","auto","","3","100.0"
"Claire Russell","6","1","15","1","3","0","auto","","2","58.5"
"River Ward","5","3","42","2","1","5","auto","","3","100.0"
"Panam Palmer","6","0","30","1","3","2","auto","","3","99.2"
"Jackie Welles","3","1","1","1","3","2","auto","","10","87.1"
"Dex DeShawn","1","2","22","4","3","5","auto","","10","100.0"
"Claire Russell","5","0","7","1","4","2","auto","","4","79.2"
"Johnny Silverhand","1","3","22","3","4","4","auto","","5","100.0"
"Panam Palmer","6","1","16","5","3","0","auto","","0","100.0"
"Evelyn Parker","8","1","23","0","5","2","auto","","6","49.8"
"Delamain","5","0","46","4","2","5","auto","","4","100.0"
"Saburo Arasaka","5","3","44","4","1","1","auto","","4","100.0"
"Saburo Arasaka","10","3","43","4","4","2","auto","","2","100.0"
"Placide","8","0","19","1","3","4","auto","","4","100.0"
"Delamain","10","2","29","3","5","1","auto","","7","16.2"
"Evelyn Parker","7","1","42","2","4","5","auto","","1","100.0"
"Kerry Eurodyne","9","2","5","5","2","1","auto","","3","91.4"
"Rogue Amendiares","2","0","2","3","4","0","auto","","3","19.5"
"Yorinobu Arasaka","6","1","45","3","3","1","auto","","6","100.0"
"Goro Takemura","10","0","48","3","1","1","auto","","1","0.0"
"Skippy","8","3","3","1","0","3","auto","","8","100.0"
"Goro Takemura","7","2","48","4","5","4","auto","","7","100.0"
"Saburo Arasaka","8","3","10","3","2","1","auto","","7","100.0"
"Kerry Eurodyne","4","3","40","2","3","0","auto","","3","100.0"
"Skippy","4","1","17","2","4","0","auto","","5","38.0"
"Goro Takemura","2","1","24","5","1","0","auto","","2","84.8"
"Saburo Arasaka","6","2","34","3","0","1","auto","","7","100.0"
"Saburo Arasaka","6","0","48","3","3","0","auto","","9","54.7"
"T-Bug","4","3","26","5","5","4","auto","","8","100.0"
"Delamain","3","3","14","3","3","0","auto","","4","100.0"
"Placide","5","3","46","3","1","4","auto","","2","100.0"
"Claire Russell","0","3","37","5","0","0","auto","","9","100.0"
"Kerry Eurodyne","6","1","29","0","2","3","auto","","2","100.0"
"Adam Smasher","3","3","20","3","2","3","auto","","5","100.0"
"Dex DeShawn","1","3","1","0","2","1","auto","","8","89.8"
"Kerry Eurodyne","1","0","48","1","1","0","auto","","0","20.8"
"Delamain","2","1","8","5","0","4","auto","","7","100.0"
"Rogue Amendiares","7","2","49","1","4","4","auto","","5","100.0"
"Dum Dum","1","1","19","4","0","2","auto","","1","100.0"
"Lizzy Wizzy","10","3","25","0","4","5","auto","","3","100.0"
"Kerry Eurodyne","3","0","44","5","4","0","auto","","4","43.6"
"Lizzy Wizzy","0","2","34","5","2","0","auto","","6","86.5"
"Evelyn Parker","10","2","0","3","0","3","auto","","6","100.0"
"T-Bug","10","3","45","3","1","5","auto","","2","100.0"
"Evelyn Parker","10","2","39","3","3","3","auto","","8","87.3"
"Dum Dum","9","2","20","0","2","3","auto","","3","89.3"
"Alt Cunningham","7","3","21","3","2","1","auto","","0","100.0"
"Hanako Arasaka","3","2","16","2","4","5","auto","","5","100.0"
"Dex DeShawn","8","0","33","0","1","5","auto","","3","100.0"
"Saburo Arasaka","7","1","44","5","5","3","auto","","7","100.0"
"Yorinobu Arasaka","0","0","18","3","5","1","auto","","3","36.1"
"Jackie Welles","10","2","30","4","2","3","auto","","8","100.0"
"Dum Dum","8","2","22","2","2","2","auto","","7","100.0"
"Alt Cunningham","1","1","20","5","4","5","auto","","1","100.0"
"River Ward","3","1","47","2","5","4","auto","","7","100.0"
"Evelyn Parker","9","2","6","2","1","2","auto","","3","79.3"
"River Ward","4","0","45","1","2","0","auto","","8","19.9"
"Johnny Silverhand","8","2","44","5","3","0","auto","","2","81.3"
"V","9","2","30","3","2","1","auto","","7","71.9"
"Johnny Silverhand","4","3","7","3","3","0","auto","","1","100.0"
"Lizzy Wizzy","10","0","9","4","2","0","auto","","2","0.0"
"Alt Cunningham","1","3","38","4","1","4","auto","","9","100.0"
"Placide","7","3","19","3","2","4","auto","","9","100.0"
"Delamain","0","0","48","5","1","2","auto","","3","100.0"
"Viktor Vektor","1","1","15","4","0","1","auto","","2","100.0"
"V","6","3","44","3","2","0","auto","","9","100.0"
"Alt Cunningham","4","2","44","0","5","1","auto","","7","72.4"
"Dex DeShawn","10","1","27","4","1","5","auto","","1","100.0"
"Goro Takemura","4","1","4","1","2","4","auto","","0","100.0"
"Dum Dum","9","2","28","3","5","2","auto","","1","89.3"
"Skippy","6","2","32","3","3","0","auto","","8","100.0"
"Delamain","0","3","47","4","2","0","auto","","5","98.3"
"Judy Alvarez","3","0","48","2","4","0","auto","","10","6.5"
"River Ward","7","3","17","4","3","5","auto","","2","100.0"
"Hanako Arasaka","1","3","22","2","2","5","auto","","6","100.0"
"Panam Palmer","2","2","26","2","5","3","auto","","7","100.0"
"Claire Russell","0","3","5","2","2","0","auto","","5","78.0"
"Placide","8","0","42","3","3","0","auto","","8","0.0"
"Rogue Amendiares","8","2","39","5","3","0","auto","","7","72.9"
"Rogue Amendiares","4","1","18","5","3","0","auto","","7","74.5"
"V","10","1","45","2","4","0","auto","","2","0.0"
"Claire Russell","6","0","14","3","0","5","auto","","1","100.0"
"Goro Takemura","7","2","32","3","3","3","auto","","4","100.0"
"Alt Cunningham","7","1","24","4","4","5","auto","","3","100.0"
"Goro Takemura","1","2","49","2","4","2","auto","","6","100.0"
"V","4","2","37","5","3","1","auto","","9","100.0"
"Yorinobu Arasaka","8","3","22","4","4","3","auto","","5","100.0"
"Yorinobu Arasaka","5","1","44","4","3","1","auto","","3","100.0"
"Saburo Arasaka","0","2","47","5","3","3","auto","","7","100.0"
"Viktor Vektor","10","1","31","1","4","4","auto","","0","85.0"
"Adam Smasher","1","3","6","3","0","5","auto","","8","100.0"
"Goro Takemura","6","1","4","2","2","4","auto","","7","100.0"
"Skippy","6","0","21","4","3","2","auto","","10","100.0"
"Kerry Eurodyne","7","0","39","1","5","5","auto","","1","100.0"
"Jackie Welles","3","0","27","5","5","0","auto","","1","51.7"
"Yorinobu Arasaka","2","2","1","2","0","2","auto","","0","100.0"
"T-Bug","5","3","9","4","3","4","auto","","3","100.0"
"Viktor Vektor","2","1","11","4","3","4","auto","","1","100.0"
"Viktor Vektor","3","3","37","1","3","5","auto","","2","100.0"
"Dex DeShawn","7","2","42","3","2","5","auto","","0","100.0"
"Claire Russell","2","0","28","4","2","5","auto","","5","100.0"
"Saburo Arasaka","4","3","19","3","3","0","auto","","3","100.0"
"Alt Cunningham","6","2","36","5","2","0","auto","","4","100.0"
"Viktor Vektor","6","2","0","5","5","0","auto","","9","93.0"
"Delamain","7","2","49","4","2","1","auto","","3","100.0"
"Kerry Eurodyne","3","2","43","5","1","5","auto","","10","100.0"
"Panam Palmer","10","0","19","0","4","2","auto","","7","0.0"
"Dum Dum","2","0","18","5","3","1","auto","","5","79.9"
"Rogue Amendiares","2","2","33","2","1","2","auto","","8","100.0"
"Hanako Arasaka","4","2","7","0","1","1","auto","","7","97.0"
"Viktor Vektor","10","3","35","0","3","0","auto","","5","1.2"
"Dex DeShawn","8","0","29","5","5","5","auto","","5","100.0"
"Dex DeShawn","9","3","40","0","5","1","auto","","5","54.1"
"Hanako Arasaka","0","2","39","5","0","5","auto","","3","100.0"
"Yorinobu Arasaka","4","3","7","0","0","2","auto","","2","100.0"
"Hanako Arasaka","1","0","15","1","3","3","auto","","8","76.2"
"T-Bug","10","3","37","3","5","0","auto","","2","21.2"
"Hanako Arasaka","9","3","17","5","2","1","auto","","0","100.0"
"Yorinobu Arasaka","7","1","23","5","2","4","auto","","1","100.0"
"Kerry Eurodyne","5","0","25","1","0","3","auto","","4","100.0"
"Judy Alvarez","10","1","41","4","0","0","auto","","10","0.0"
"Adam Smasher","3","1","50","1","0","4","auto","","9","100.0"
"Rogue Amendiares","9","1","14","1","4","0","auto","","5","0.0"
"Dex DeShawn","2","1","34","1","0","5","auto","","4","100.0"
"V","2","0","22","4","2","0","auto","","3","57.2"
"River Ward","4","0","8","4","0","5","auto","","6","100.0"
"Judy Alvarez","7","3","49","4","4","0","auto","","5","100.0"
"Yorinobu Arasaka","8","1","39","5","5","4","auto","","0","100.0"
"Jackie Welles","7","0","3","3","3","5","auto","","7","100.0"
"Panam Palmer","7","3","4","2","4","1","auto","","1","100.0"
"Judy Alvarez","2","2","39","4","4","5","auto","","10","100.0"
"Adam Smasher","6","2","29","4","3","0","auto","","8","100.0"
"Skippy","1","1","27","1","3","2","auto","","7","78.9"
"Yorinobu Arasaka","6","3","46","2","3","2","auto","","1","100.0"
"Viktor Vektor","4","2","9","3","0","0","auto","","10","84.0"
"Judy Alvarez","1","3","6","1","4","0","auto","","5","62.7"
"Lizzy Wizzy","8","2","42","3","2","5","auto","","1","100.0"
"Saburo Arasaka","0","2","38","2","0","4","auto","","4","100.0"
"Evelyn Parker","3","1","42","1","0","2","auto","","7","100.0"
"Claire Russell","5","0","48","4","1","3","auto","","4","100.0"
"Claire Russell","9","0","38","5","2","0","auto","","10","0.0"
"River Ward","4","2","21","0","1","1","auto","","5","94.1"
"Lizzy Wizzy","10","3","4","5","5","0","auto","","2","41.2"
"Judy Alvarez","8","1","24","3","2","1","auto","","6","61.2"
"T-Bug","4","2","49","4","0","0","auto","","9","100.0"
"Goro Takemura","2","0","43","2","3","5","auto","","1","100.0"
"Saburo Arasaka","7","3","26","1","4","0","auto","","4","82.9"
"T-Bug","6","0","18","5","4","3","auto","","10","100.0"
"Evelyn Parker","10","2","2","3","4","0","auto","","3","3.0"
"V","3","2","13","2","2","2","auto","","2","100.0"
"Panam Palmer","0","3","47","1","1","3","auto","","6","100.0"
"Claire Russell","3","2","4","5","0","3","auto","","6","100.0"
"V","7","0","20","3","4","3","auto","","9","100.0"
"Skippy","10","3","18","3","0","2","auto","","1","100.0"
"River Ward","9","3","44","0","3","0","auto","","5","44.2"
"Alt Cunningham","6","3","33","3","2","5","auto","","1","100.0"
"Adam Smasher","3","2","49","0","4","5","auto","","2","100.0"
"Panam Palmer","8","1","49","2","5","5","auto","","5","100.0"
"Goro Takemura","3","0","9","1","1","4","auto","","4","100.0"
"Goro Takemura","10","0","11","3","3","4","auto","","10","59.4"
"Lizzy Wizzy","7","2","40","1","3","0","auto","","5","63.4"
"Hanako Arasaka","7","2","50","4","0","2","auto","","4","100.0"
"Evelyn Parker","1","2","29","0","0","2","auto","","7","100.0"
"Jackie Welles","1","0","39","4","3","3","auto","","9","100.0"
"Lizzy Wizzy","8","0","28","5","1","2","auto","","9","85.8"
"Delamain","7","1","3","0","2","5","auto","","7","100.0"
"Judy Alvarez","8","1","2","5","3","3","auto","","3","100.0"
"Evelyn Parker","8","1","23","2","3","3","auto","","5","100.0"
"Adam Smasher","10","0","50","5","2","0","auto","","10","0.0"
"Adam Smasher","1","3","18","5","5","4","auto","","4","100.0"
"Goro Takemura","5","0","37","1","2","2","auto","","10","87.7"
"Kerry Eurodyne","10","3","8","5","0","2","auto","","9","100.0"
"Claire Russell","6","2","8","5","5","5","auto","","10","100.0"
"Evelyn Parker","1","3","32","0","2","2","auto","","5","100.0"
"River Ward","3","2","49","1","1","1","auto","","7","100.0"
"Goro Takemura","1","2","50","4","4","5","auto","","1","100.0"
"Evelyn Parker","0","2","49","1","4","3","auto","","9","100.0"
"Goro Takemura","2","1","44","1","5","3","auto","","9","100.0"
"Johnny Silverhand","6","2","43","3","4","2","auto","","3","100.0"
"Dum Dum","7","1","34","2","3","1","auto","","3","88.7"
"T-Bug","10","3","29","3","4","4","auto","","4","100.0"
"Saburo Arasaka","2","1","38","2","0","5","auto","","2","100.0"
"Hanako Arasaka","5","0","45","0","2","0","auto","","8","18.0"
"River Ward","4","3","32","3","0","1","auto","","2","100.0"
"Yorinobu Arasaka","5","0","26","3","4","2","auto","","0","100.0"
"Alt Cunningham","6","0","23","0","2","0","auto","","3","27.8"
"Skippy","10","2","50","1","0","2","auto","","2","65.9"
"Hanako Arasaka","2","3","28","0","0","0","auto","","9","79.9"
"Dex DeShawn","3","1","35","4","3","0","auto","","9","64.4"
"Jackie Welles","3","2","7","1","3","5","auto","","0","100.0"
"Delamain","7","0","7","4","4","0","auto","","7","24.5"
"Kerry Eurodyne","8","1","45","2","3","0","auto","","2","23.7"
"Delamain","5","1","36","1","5","5","auto","","6","100.0"
"Judy Alvarez","8","2","4","4","4","4","auto","","8","100.0"
"Claire Russell","0","3","30","5","3","2","auto","","0","100.0"
"Dex DeShawn","0","2","50","2","1","5","auto","","1","100.0"
"Viktor Vektor","10","0","49","5","2","1","auto","","9","7.0"
"Johnny Silverhand","5","2","41","5","3","5","auto","","2","100.0"
"Hanako Arasaka","10","1","8","5","3","0","auto","","1","8.6"
"Jackie Welles","3","0","50","0","2","2","auto","","3","65.9"
"Evelyn Parker","6","3","16","5","1","2","auto","","0","100.0"
"T-Bug","0","2","17","2","3","3","auto","","1","100.0"
"Dum Dum","7","3","21","3","5","3","auto","","2","100.0"
"T-Bug","8","2","5","0","3","4","auto","","6","100.0"
"River Ward","8","2","20","0","2","5","auto","","1","100.0"
"Jackie Welles","4","3","38","1","5","3","auto","","6","100.0"
"T-Bug","7","0","46","4","3","2","auto","","5","99.8"
"Kerry Eurodyne","0","0","42","3","2","4","auto","","10","100.0"
"Dum Dum","10","1","1","4","5","3","auto","","2","64.1"
"Johnny Silverhand","2","0","15","2","2","3","auto","","10","97.4"
"Lizzy Wizzy","0","1","43","2","2","3","auto","","7","100.0"
"Judy Alvarez","9","1","33","3","2","5","auto","","5","100.0"
"Dex DeShawn","3","0","1","3","4","3","auto","","2","100.0"
"Claire Russell","1","2","49","5","3","1","auto","","4","100.0"
"Delamain","4","3","12","1","0","3","auto","","1","100.0"
"River Ward","7","0","43","5","2","5","auto","","5","100.0"
"Judy Alvarez","8","2","19","5","5","5","auto","","2","100.0"
"Kerry Eurodyne","2","2","32","0","1","1","auto","","3","95.6"
"Alt Cunningham","7","0","23","4","2","3","auto","","8","100.0"
"Claire Russell","2","0","4","3","5","5","auto","","4","100.0"
"Hanako Arasaka","8","3","49","4","0","1","auto","","6","100.0"
"Adam Smasher","10","0","28","5","4","2","auto","","7","25.3"
"Goro Takemura","8","1","49","3","4","0","auto","","2","28.4"
"Panam Palmer","8","1","19","1","2","5","auto","","2","100.0"
"Alt Cunningham","5","2","5","1","5","4","auto","","4","100.0"
"Dex DeShawn","2","2","39","0","4","5","auto","","8","100.0"
"River Ward","9","1","10","4","5","4","auto","","10","100.0"
"Adam Smasher","9","0","1","0","5","4","auto","","1","69.1"
"Dex DeShawn","10","1","49","3","4","5","auto","","9","100.0"
"V","7","2","41","3","1","5","auto","","4","100.0"
"Placide","4","3","4","1","3","3","auto","","0","100.0"
"Hanako Arasaka","7","1","21","1","2","5","auto","","9","100.0"
"Adam Smasher","5","3","8","4","4","0","auto","","5","100.0"
"Adam Smasher","3","3","7","3","1","1","auto","","4","100.0"
"Panam Palmer","0","2","24","3","1","1","auto","","9","89.8"
"Adam Smasher","9","2","12","3","4","3","auto","","2","100.0"
"Hanako Arasaka","4","3","1","3","4","3","auto","","1","100.0"
"Alt Cunningham","3","2","3","2","3","4","auto","","0","100.0"
"Kerry Eurodyne","10","3","18","0","0","3","auto","","8","100.0"
"Goro Takemura","4","2","48","2","0","3","auto","","6","100.0"
"Johnny Silverhand","9","1","23","2","0","3","auto","","8","88.3"
"Evelyn Parker","7","2","39","4","0","1","auto","","10","100.0"
"Panam Palmer","6","2","50","4","2","1","auto","","5","100.0"
"Rogue Amendiares","9","3","32","0","0","1","auto","","0","82.9"
"Skippy","5","3","33","1","4","4","auto","","7","100.0"
"Goro Takemura","5","2","10","4","5","2","auto","","6","100.0"
"Lizzy Wizzy","5","3","45","2","3","0","auto","","9","100.0"
"T-Bug","5","0","26","2","5","5","auto","","9","100.0"
"Kerry Eurodyne","0","3","16","4","4","1","auto","","10","100.0"
"Dum Dum","0","3","10","5","5","4","auto","","8","100.0"
"Placide","2","1","2","5","0","1","auto","","9","100.0"
"V","7","2","26","3","5","1","auto","","2","100.0"
"Saburo Arasaka","8","3","47","5","1","4","auto","","0","100.0"
"Rogue Amendiares","8","2","42","4","3","2","auto","","7","100.0"
"River Ward","7","2","34","5","5","5","auto","","5","100.0"
"Kerry Eurodyne","4","3","12","2","4","2","auto","","3","100.0"
"Alt Cunningham","4","2","45","5","5","3","auto","","3","100.0"
"Adam Smasher","7","2","35","2","0","4","auto","","4","100.0"
